"JURISDICTION NAME","PERCENT PERMANENT RESIDENT ALIEN","PERCENT US CITIZEN"
11001,0,0
11425,0,0
11414,0,0
11731,0,0
10003,0,1
11430,0,0
11106,0,0
10065,0,0
12737,0.06,0.94
11201,0,1
10464,0,1
10701,0,0
10028,0,0
13731,0,1
11112,0,0
10023,0,1
10021,0,0
12789,0,1
11214,0,1
12763,0,1
10462,0,0.67
10040,0,1
11375,0,1
16091,0,0
11968,0,0
11111,0,0
12788,0,1
11205,0,1
11236,0.29,0.71
12768,0,1
10472,0,0
10154,0,0
11213,0.03,0.97
11354,1,0
11373,0,1
10025,0.11,0.89
11216,0,0
10019,0,0
10005,0.5,0.5
12435,0,1
11416,0,0
10044,0,0
11427,0.5,0.5
10280,0,0
12528,0.02,0.98
10458,0.06,0.92
11208,0,0
10004,0,0
10036,0,1
11368,0.2,0.8
10467,0.09,0.89
11252,0,0
10314,0,0
10461,0.02,0.98
11211,0,1
10543,0,0
10119,0,0
11366,0,0
10037,0,0
10306,0,1
11412,0,0
10115,0,0
12701,0,1
11210,0,1
10471,0.05,0.95
11365,0,0
12428,0,1
10007,0,1
11431,0,0
11429,0,0
12750,0,1
10010,0,0
11222,0,0
10474,0,0
11237,0,0
11207,0,0
10911,0,0
11220,0,1
11598,0,0
11439,0,0
11224,0.06,0.92
12764,0,1
11356,0,0
12786,0,1
11217,0,0
10035,0,0
10310,0,0
10026,0,0
10045,0,0
11021,0,0
10475,0.1,0.9
11219,0.01,0.99
11362,0,0
10031,0,0
12466,0,1
10473,0,0
12779,0,1
11361,0,0
11206,0,1
11577,0,0
10033,0,0
11215,0,0
11434,0.25,0.75
10038,0.06,0.94
10457,0,0
10012,0,0
11233,0,1
10514,0,0
11428,0,0
11231,0,0
10009,0,1
10451,0.07,0.93
12754,0.01,0.99
11420,0,1
11360,0,0
10024,0,1
11223,0.06,0.94
10039,0,0
11103,0,0
11379,0,0
11229,0.06,0.94
11226,0,1
10977,0,0
11357,0,0
12783,0.02,0.98
12473,0,0
11228,0,0
11364,0,0
10029,0,1
11377,0,0
11411,0,0
10014,0,0
10020,0,0
11204,0.03,0.97
10304,0,0
11432,0,1
11370,0,0
10452,0,1
10302,0,0
10034,0,0
11203,0.07,0.93
11433,0,0
10128,0,0
11239,0,0
10309,0,0
11102,0,0
10459,0.29,0.71
11421,0,0
11435,0,0
11510,0.04,0.96
11371,0,0
10455,0.04,0.93
11566,0,0
10469,0.2,0.8
10016,0,1
11418,0,1
11232,0,0
10965,0,0
10278,0,0
11101,0,1
11691,0,1
12734,0,1
11692,0,0
11417,0,0
11693,0,0
10006,0,1
11423,0,0
10573,0,0
20459,0,0
11372,0,1
11367,0,0
10456,0,1
11695,0,0
11415,0.09,0.91
11580,0,0
11471,0,0
10018,0.33,0.67
12759,0,1
11221,0,0
11358,0,0
10301,0,0
11202,0,0
11419,0,1
11104,0,0
11374,0,1
10011,0,1
10305,0,0
10032,0.08,0.92
10463,0.05,0.92
11238,0,0
10454,0.06,0.94
11629,0,0
11436,0,0
12751,0,1
11413,0,0
10013,0,1
10027,0.14,0.86
11548,0,0
11050,0,0
10460,0.07,0.93
11385,0,0
12733,0,1
10553,0,0
11230,0.01,0.99
10303,0,0
11378,0,0
11369,0,0
11451,0,0
10022,0,1
11235,0.02,0.96
10468,0.02,0.98
10002,0.06,0.94
11355,0,0
11225,0,1
10307,0,0
10312,0,0
11424,0,0
11694,0,0
11209,0,0
10017,0,0
11422,0,0
11212,0.1,0.9
11105,0,0
12423,0,1
11234,0.02,0.98
10001,0.05,0.95
10466,0.05,0.95
11426,0,0
10465,0.05,0.95
11218,0.07,0.92
11798,0,1
10030,0,0
12758,0,1
10705,0,0
12458,0,0
10453,0.14,0.86
