"JURISDICTION NAME","PERCENT ASIAN NON HISPANIC"
10003,1
10007,1
10009,1
10013,1
10018,1
10022,1
10306,1
11101,1
10002,0.8
10038,0.56
10005,0.5
10036,0.5
11214,0.5
11432,0.5
10040,0.2
11368,0.2
10023,0.14
10027,0.14
11220,0.13
11212,0.1
11229,0.1
11201,0.09
10032,0.08
11224,0.08
11235,0.08
10001,0.07
10464,0.07
11203,0.07
10454,0.06
11223,0.06
10465,0.05
10467,0.04
10468,0.04
11510,0.04
11211,0.03
11218,0.03
11230,0.03
10451,0.02
10461,0.02
10471,0.02
10004,0
10006,0
10010,0
10011,0
10012,0
10014,0
10016,0
10017,0
10019,0
10020,0
10021,0
10024,0
10025,0
10026,0
10028,0
10029,0
10030,0
10031,0
10033,0
10034,0
10035,0
10037,0
10039,0
10044,0
10045,0
10065,0
10115,0
10119,0
10128,0
10154,0
10278,0
10280,0
10301,0
10302,0
10303,0
10304,0
10305,0
10307,0
10309,0
10310,0
10312,0
10314,0
10452,0
10453,0
10455,0
10456,0
10457,0
10458,0
10459,0
10460,0
10462,0
10463,0
10466,0
10469,0
10472,0
10473,0
10474,0
10475,0
10514,0
10543,0
10553,0
10573,0
10701,0
10705,0
10911,0
10965,0
10977,0
11001,0
11021,0
11050,0
11102,0
11103,0
11104,0
11105,0
11106,0
11111,0
11112,0
11202,0
11204,0
11205,0
11206,0
11207,0
11208,0
11209,0
11210,0
11213,0
11215,0
11216,0
11217,0
11219,0
11221,0
11222,0
11225,0
11226,0
11228,0
11231,0
11232,0
11233,0
11234,0
11236,0
11237,0
11238,0
11239,0
11252,0
11354,0
11355,0
11356,0
11357,0
11358,0
11360,0
11361,0
11362,0
11364,0
11365,0
11366,0
11367,0
11369,0
11370,0
11371,0
11372,0
11373,0
11374,0
11375,0
11377,0
11378,0
11379,0
11385,0
11411,0
11412,0
11413,0
11414,0
11415,0
11416,0
11417,0
11418,0
11419,0
11420,0
11421,0
11422,0
11423,0
11424,0
11425,0
11426,0
11427,0
11428,0
11429,0
11430,0
11431,0
11433,0
11434,0
11435,0
11436,0
11439,0
11451,0
11471,0
11548,0
11566,0
11577,0
11580,0
11598,0
11629,0
11691,0
11692,0
11693,0
11694,0
11695,0
11731,0
11798,0
11968,0
12423,0
12428,0
12435,0
12458,0
12466,0
12473,0
12528,0
12701,0
12733,0
12734,0
12737,0
12750,0
12751,0
12754,0
12758,0
12759,0
12763,0
12764,0
12768,0
12779,0
12783,0
12786,0
12788,0
12789,0
13731,0
16091,0
20459,0
